outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
FINNGEN_R5_K11_CHOLELITH	Cholelithiasis	32	EFO_0004799	FinnGEN
FINNGEN_R5_K11_DIVERTIC	Diverticular disease of intestine	9	EFO_0009959	FinnGEN
FINNGEN_R5_K11_IBD_STRICT	Inflammatory bowel disease, strict (require KELA)	21	EFO_0003767	FinnGEN
FINNGEN_R5_K11_KELAIBD	IBD patients in KELA-register	21	EFO_0003767	FinnGEN
FINNGEN_R5_K11_UC_NOCD	Ulcerative colitis (strict definition, all Crohn cases excluded)	10	EFO_0000729	FinnGEN
FINNGEN_R5_K11_UC_STRICT	Ulcerative colitis (strict definition, require KELA)	9	EFO_0000729	FinnGEN
FINNGEN_R5_K11_UC_STRICT2	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	11	EFO_0000729	FinnGEN
FINNGEN_R5_K11_ULCER	Ulcerative colitis	10	EFO_0000729	FinnGEN
FINNGEN_R5_N14_PROSTHYPERPLA	Hyperplasia of prostate	12	EFO_0000284	FinnGEN
GCST003129	Primary biliary cholangitis	24	EFO_1001486	GWAS Catalog
GCST004988	Breast cancer	199	EFO_0000305	GWAS Catalog
GCST005581	Primary biliary cirrhosis	24	EFO_1001486	GWAS Catalog
GCST006085	Prostate cancer	186	EFO_0001663	GWAS Catalog
GCST006464	Endometrial cancer	15	EFO_1001512	GWAS Catalog
GCST006465	Endometrial cancer (endometrioid histology)	12	EFO_1001512	GWAS Catalog
GCST90013410	Basal cell carcinoma	69	EFO_0004193	GWAS Catalog
NEALE2_20107_13	Prostate cancer | illnesses of father	10	EFO_0001663	UK Biobank
NEALE2_20110_5	Breast cancer | illnesses of mother	10	EFO_0000305	UK Biobank
SAIGE_172	Skin cancer	41	MONDO_0002898	UK Biobank
SAIGE_172_1	Melanomas of skin, dx or hx	9	EFO_0000389	UK Biobank
SAIGE_172_11	Melanomas of skin	9	EFO_0000389	UK Biobank
SAIGE_172_2	Other non-epithelial cancer of skin	38	EFO_0009259	UK Biobank
SAIGE_174	Breast cancer	27	MONDO_0007254	UK Biobank
SAIGE_208	Benign neoplasm of colon	26	MONDO_0002278	UK Biobank
SAIGE_471	Nasal polyps	15	EFO_1000391	UK Biobank
SAIGE_728_71	Contracture of palmar fascia [dupuytren's disease]	42	EFO_1000438	UK Biobank
FINNGEN_R5_C3_BREAST	Malignant neoplasm of breast	32	EFO_0003869	FinnGEN
FINNGEN_R5_C3_BREAST_EXALLC	Malignant neoplasm of breast (controls excluding all cancers)	31	MONDO_0007254	FinnGEN
FINNGEN_R5_C3_BREAST_HER2NEG	Malignant neoplasm of breast, HER2-negative	27	EFO_0009780	FinnGEN
FINNGEN_R5_C3_BREAST_HERPLUS	Malignant neoplasm of breast, HER-positive	16	EFO_1000294	FinnGEN
FINNGEN_R5_C3_BREAST_HERPLUS_EXALLC	Malignant neoplasm of breast, HER-positive (controls excluding all cancers)	17	EFO_1000294	FinnGEN
FINNGEN_R5_C3_MALE_GENITAL	malignant neoplasm of male genital organs	35	EFO_0007355	FinnGEN
FINNGEN_R5_C3_MALE_GENITAL_EXALLC	malignant neoplasm of male genital organs (controls excluding all cancers)	36	EFO_0007355	FinnGEN
FINNGEN_R5_C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer) (controls excluding all cancers)	31	EFO_0009260	FinnGEN
FINNGEN_R5_C3_PROSTATE	Malignant neoplasm of prostate	35	EFO_0001663	FinnGEN
FINNGEN_R5_C3_PROSTATE_EXALLC	Malignant neoplasm of prostate (controls excluding all cancers)	39	MONDO_0008315	FinnGEN
FINNGEN_R5_C3_SKIN_EXALLC	Malignant neoplasm of skin (controls excluding all cancers)	31	MONDO_0002898	FinnGEN
FINNGEN_R5_CD2_BENIGN_EXALLC	Benign neoplasms (controls excluding all cancers)	26	EFO_0002422	FinnGEN
FINNGEN_R5_CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus	57	EFO_0000731	FinnGEN
FINNGEN_R5_J10_NASALPOLYP	Nasal polyp	9	EFO_1000391	FinnGEN
FINNGEN_R5_L12_ACTINKERA	Actinic keratosis	13	EFO_0002496	FinnGEN
FINNGEN_R5_M13_DUPUTRYEN	Palmar fascial fibromatosis [Dupuytren]	15	EFO_1000438	FinnGEN
GCST005527	Psoriasis	89	EFO_0000676	GWAS Catalog
GCST90027161	Atopic dermatitis	26	EFO_0000274	GWAS Catalog
GCST90038602	Hematological or dermatological disease	16	EFO_0000701, EFO_0005803	GWAS Catalog
GCST90038679	Dermatologic disease	24	EFO_0000701	GWAS Catalog
GCST90038680	Eczema or dermatitis	24	HP_0000964, MONDO_0002406	GWAS Catalog
GCST90038681	Psoriasis	21	EFO_0000676	GWAS Catalog
NEALE2_1737	Childhood sunburn occasions	81	EFO_0003958	UK Biobank
NEALE2_3761_raw	Age hay fever, rhinitis or eczema diagnosed	23	EFO_0000274, EFO_0005854	UK Biobank
FINNGEN_R5_ATOPIC_STRICT	Atopic  dermatitis, strict definition	21	EFO_0000274	FinnGEN
FINNGEN_R5_ATOPIC_STRICT_REIMB	Atopic dermatitis, strict definition with reimbursement	22	EFO_0000274	FinnGEN
FINNGEN_R5_L12_ATOPIC	Atopic dermatitis	24	EFO_0000274	FinnGEN
FINNGEN_R5_L12_NONIONRADISKIN	Skin changes due to chronic exposure to nonionizing radiation	11	EFO_0000701, EFO_0009565	FinnGEN
FINNGEN_R5_L12_PSORIASIS	Psoriasis	14	EFO_0000676	FinnGEN
FINNGEN_R5_L12_PSORI_VULG	Psoriasis vulgaris	7	EFO_1001494	FinnGEN
GCST006862	Asthma	20	MONDO_0004979	GWAS Catalog
GCST90014325	Asthma	99	MONDO_0004979	GWAS Catalog
GCST90038616	Asthma	146	MONDO_0004979	GWAS Catalog
GCST90038664	Allergic rhinitis	36	EFO_0005854	GWAS Catalog
NEALE2_22126	Doctor diagnosed hayfever or allergic rhinitis	23	EFO_0003956	UK Biobank
NEALE2_6152_9	Hayfever, allergic rhinitis or eczema | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	145	EFO_0003956	UK Biobank
FINNGEN_R5_ALLERG_ASTHMA	Allergic asthma (mode)	7	MONDO_0004784	FinnGEN
FINNGEN_R5_ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more control exclusions)	7	MONDO_0004784	FinnGEN
FINNGEN_R5_J10_ASTHMACOPDKELA	Asthma/COPD (KELA code 203)	27	EFO_0009759	FinnGEN
FINNGEN_R5_N14_ENDOMETRIOSIS	Endometriosis	10	EFO_0001065	FinnGEN
FINNGEN_R5_N14_ENDOMETRIOSIS_OVARY	Endometriosis of ovary	13	EFO_1000418	FinnGEN
FINNGEN_R5_N14_FEMGENPROL	Female genital prolapse	9	MONDO_0001592	FinnGEN
FINNGEN_R5_E4_HYPERCHOL	Pure hypercholesterolaemia	20	EFO_0004911	FinnGEN
FINNGEN_R5_E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias	28	Orphanet_309005	FinnGEN
NEALE2_6149_1	Mouth ulcers | mouth/teeth dental problems	36	MONDO_0043839	UK Biobank
FINNGEN_R5_E4_DM1NASCOMP	Type 1 diabetes with other specified/multiple/unspecified complications	12	EFO_0001359, EFO_0009518	FinnGEN
FINNGEN_R5_E4_DM1OPTH	Type 1 diabetes with ophthalmic complications	13	EFO_0001359, EFO_0009518	FinnGEN
FINNGEN_R5_E4_DM2NASCOMP	Type 2 diabetes with other specified/multiple/unspecified complications	68	EFO_0001360, EFO_0009518	FinnGEN
FINNGEN_R5_M13_POLYARTHROPATHIES	Polyarthropathies	12	EFO_0005856	FinnGEN
FINNGEN_R5_M13_RHEUMA	Rheumatoid arthritis	10	EFO_0000685	FinnGEN
FINNGEN_R5_M13_SPONDYLOPATHY	Spondylopathies	4	MONDO_0045002	FinnGEN
FINNGEN_R5_RHEUMA_SEROPOS	Seropositive rheumatoid arthritis	12	EFO_0000685	FinnGEN
FINNGEN_R5_RHEUMA_SEROPOS_OTH	Other/unspecified seropositiverheumatoid arthritis	11	EFO_0009459	FinnGEN
FINNGEN_R5_RHEUMA_SEROPOS_WIDE	Seropositive rheumatoid arthritis, wide	10	EFO_0009459	FinnGEN
GCST005569	Rheumatoid arthritis	12	EFO_0000685	GWAS Catalog
GCST006980	Fractures	14	EFO_0003931	GWAS Catalog
GCST007090	Knee osteoarthritis	12	EFO_0004616	GWAS Catalog
GCST007091	Osteoarthritis (hip)	28	EFO_1000786	GWAS Catalog
GCST007092	Osteoarthritis of the hip or knee	28	EFO_0004616, EFO_1000786	GWAS Catalog
GCST90038652	Bone disorder	18	EFO_0004260	GWAS Catalog
GCST90038656	Osteoporosis	19	EFO_0003882	GWAS Catalog
GCST90038687	Gout	29	EFO_0004274	GWAS Catalog
NEALE2_2463	Fractured/broken bones in last 5 years	9	EFO_0003931	UK Biobank
FINNGEN_R5_COX_ARTHROSIS	Coxarthrosis [arthrosis of hip](FG)	7	EFO_1000786	FinnGEN
FINNGEN_R5_KNEE_ARTHROSIS	Gonarthrosis [arthrosis of knee](FG)	20	EFO_0004616	FinnGEN
FINNGEN_R5_M13_ARTHROSIS_KNEE	Gonarthrosis	23	EFO_0004616	FinnGEN
FINNGEN_R5_M13_ARTHROSIS_KNEE_PRIM_KNEESURG	Gonarthrosis, primary, with knee surgery	17	EFO_0002571, EFO_0004616	FinnGEN
FINNGEN_R5_M13_ARTHTROSIS_COX	Coxarthrosis,	6	EFO_1000786	FinnGEN
FINNGEN_R5_M13_ARTHTROSIS_COX_PRIM_HIPSURG	Coxarthrosis, primary, with hip surgery	5	EFO_0002571, EFO_1000786	FinnGEN
FINNGEN_R5_M13_FIBROBLASTIC	Fibroblastic disorders	10	EFO_0009432	FinnGEN
FINNGEN_R5_M13_INTERVERTEB	Other intervertebral disc disorders	8	EFO_0009477	FinnGEN
GCST90060266	Sphingomyelin_36:1_[M+H]1+ levels	9	EFO_0010118	GWAS Catalog
GCST90060306	Sphingomyelin_38:1_[M+H]1+ levels	9	EFO_0010118	GWAS Catalog
GCST90060308	Phosphatidylcholine-O_35:1_[M+H]1+/Phosphatidylcholine-P_35:0_[M+H]1+/Phosphatidylethanolamine-O_38:1_[M+H]1+ levels	9	EFO_0010226	GWAS Catalog
FINNGEN_R5_I9_DVTANDPULM	DVT of lower extremities and pulmonary embolism	28	EFO_0003907	FinnGEN
FINNGEN_R5_K11_HERNIA	Hernia	18	HP_0100790	FinnGEN
FINNGEN_R5_OPER_ARTIF_JOINT_MENISC_RESECT	Articial joint operation, menisceal resection	11	EFO_0009744, EFO_1000999	FinnGEN
FINNGEN_R5_ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only	19	EFO_0000270	FinnGEN
FINNGEN_R5_E4_METABOLIA	Metabolic disorders	19	EFO_0000589	FinnGEN
FINNGEN_R5_E4_OBESITY_HYPER	Obesity and other hyperalimentation	9	EFO_0001073	FinnGEN
FINNGEN_R5_J10_ASTHMA_INCLAVO	Asthma, including avohilmo	21	EFO_0000270	FinnGEN
FINNGEN_R5_K11_REIMB_202	KELA_REIMBURSEMENT_202	17	NA	FinnGEN
FINNGEN_R5_KELA_DIAB_INSUL	Diabetes, insuline treatment (Kela reimbursement)	61	CHEBI_5931, EFO_0000400	FinnGEN
FINNGEN_R5_DIABETES_FG	Diabetes, varying definitions	66	EFO_0000400	FinnGEN
FINNGEN_R5_E4_DIABETES	Diabetes mellitus	63	EFO_0000400	FinnGEN
FINNGEN_R5_K11_GALLBILPANC	Disorders of gallbladder, biliary tract and pancreas	31	EFO_0003832, EFO_0009534, EFO_0009605	FinnGEN
FINNGEN_R5_RX_STATIN	Statin medication	100	GO_0036273	FinnGEN
FINNGEN_R5_AUTOIMMUNE	Autoimmune diseases	60	EFO_0005140	FinnGEN
FINNGEN_R5_RX_ANTIHYP	Antihypertensive medication - note that there are other indications	74	EFO_0000537, GO_0042493	FinnGEN
FINNGEN_R5_FG_CVD	Cardiovascular diseases (excluding rheumatic etc)	19	EFO_0000319	FinnGEN
FINNGEN_R5_I9_CHD	Major coronary heart disease event	28	EFO_0001645	FinnGEN
FINNGEN_R5_I9_CVD	Cardiovascular diseases	25	EFO_0000319	FinnGEN
FINNGEN_R5_I9_CVD_HARD	Hard cardiovascular diseases	14	EFO_0000319	FinnGEN
FINNGEN_R5_I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	46	EFO_0007352, MONDO_0004634	FinnGEN
FINNGEN_R5_I9_HYPERTENSION	Hypertensive diseases	77	EFO_0000537	FinnGEN
FINNGEN_R5_I9_IHD	Ischaemic heart disease, wide definition	27	EFO_1001375	FinnGEN
FINNGEN_R5_I9_ISCHHEART	Ischemic heart diseases	29	EFO_1001375	FinnGEN
FINNGEN_R5_I9_OTHHEART	Other heart diseases	18	EFO_0003777	FinnGEN
FINNGEN_R5_I9_VTE	Venous thromboembolism	28	EFO_0004286	FinnGEN
FINNGEN_R5_N14_UROLITHIASIS	Urolithiasis	10	MONDO_0024647	FinnGEN
FINNGEN_R5_H7_GLAUCOMA	Glaucoma	19	EFO_0000516	FinnGEN
FINNGEN_R5_H7_LENS	Disorders of lens	17	EFO_0009674	FinnGEN
FINNGEN_R5_E4_ENDONUTRMET	Endocrine, nutritional and metabolic diseases	25	EFO_0000589, EFO_0001069, EFO_0001379	FinnGEN
FINNGEN_R5_E4_HYTHY_AI_STRICT_PURCH	Hypothyroidism, strict autoimmune, 3 medication purchases required	61	EFO_0003779	FinnGEN
FINNGEN_R5_E4_THYROID	Disorders of the thyroid gland	45	EFO_1000627	FinnGEN
FINNGEN_R5_RX_CROHN_1STLINE	First line medication for Crohns disease	10	EFO_0000384	FinnGEN
FINNGEN_R5_RX_CROHN_2NDLINE	Second line medication for Crohns disease	14	EFO_0000384	FinnGEN
FINNGEN_R5_ABDOM_HERNIA	Hernia of abodminal wall	7	EFO_1001866	FinnGEN
FINNGEN_R5_K11_ENERCOLNONINF	Noninfective enteritis and colitis	11	EFO_0003872, MONDO_0043579	FinnGEN
FINNGEN_R5_K11_IBD	Inflammatory bowel disease	14	EFO_0003767	FinnGEN
FINNGEN_R5_K11_KELAUC	UC patients in KELA-register ( KELA 208 prior to 1994, or ICD K51)	14	EFO_0000729	FinnGEN
FINNGEN_R5_C3_CANCER	Malignant neoplasm	26	EFO_0000311	FinnGEN
FINNGEN_R5_C3_OTHER_SKIN	Other malignant neoplasms of skin (=non-melanoma skin cancer)	32	EFO_0009260	FinnGEN
FINNGEN_R5_C3_SKIN	Malignant neoplasm of skin	32	MONDO_0002898	FinnGEN
FINNGEN_R5_CD2_BENIGN	Benign neoplasms	30	EFO_0002422	FinnGEN
FINNGEN_R5_L12_DERMATITISECZEMA	Dermatitis and eczema	17	HP_0000964, MONDO_0002406	FinnGEN
FINNGEN_R5_L12_PAPULOSQUAMOUS	Papulosquamous disorders	11	EFO_0000701	FinnGEN
FINNGEN_R5_L12_RADIATIONRELATEDSKIN	Radiation-related disorders of the skin and subcutaneous tissue	9	EFO_0000701, EFO_0009565, MONDO_0019296	FinnGEN
FINNGEN_R5_ILD_ENDPOINTS	Interstitial lung disease endpoints	20	EFO_0004244	FinnGEN
FINNGEN_R5_J10_LOWCHRON	Chronic lower respiratory diseases	28	EFO_0009433	FinnGEN
FINNGEN_R5_J10_RESPIRATORY	Diseases of the respiratory system	12	EFO_0000684	FinnGEN
FINNGEN_R5_J10_UPPERDIS	Other diseases of upper respiratory tract	8	MONDO_0004867	FinnGEN
FINNGEN_R5_M13_MUSCULOSKELETAL	Diseases of the musculoskeletal system and connective tissue	5	EFO_0009676, EFO_1001986	FinnGEN
FINNGEN_R5_M13_RHEUMA_INCLAVO	Rheumatoid arthritis , including avohilmo	13	EFO_0000685	FinnGEN
FINNGEN_R5_RHEUMA_ENDPOINTS	Finngen Rheumatological endpoints	7	EFO_0005755	FinnGEN
FINNGEN_R5_M13_ARTHROSIS_KNEE_PRIM_ICD10	Gonarthrosis,primary	15	EFO_0004616	FinnGEN
FINNGEN_R5_M13_ARTHTROSIS_COX_PRIM_ICD10	Coxarthrosis, primary	7	EFO_1000786	FinnGEN
FINNGEN_R5_M13_DORSOPATHY	Dorsopathies	11	EFO_0009676	FinnGEN
NEALE2_20002_1074	Angina | non-cancer illness code, self-reported	15	EFO_0003913	UK Biobank
NEALE2_20002_1094	Deep venous thrombosis (dvt) | non-cancer illness code, self-reported	9	EFO_0003907	UK Biobank
NEALE2_20002_1452	Eczema/dermatitis | non-cancer illness code, self-reported	13	HP_0000964	UK Biobank
NEALE2_20002_1473	High cholesterol | non-cancer illness code, self-reported	75	HP_0003124	UK Biobank
NEALE2_20003_1140861998	Ventolin 100micrograms inhaler | treatment/medication code	16	EFO_0007010	UK Biobank
NEALE2_20003_1140866738	Atenolol | treatment/medication code	10	EFO_0007010	UK Biobank
NEALE2_20003_1140868226	Aspirin | treatment/medication code	10	EFO_0007010	UK Biobank
NEALE2_20003_1140874744	Gliclazide | treatment/medication code	9	EFO_0007010	UK Biobank
NEALE2_20003_1140875408	Allopurinol | treatment/medication code	20	EFO_0007010	UK Biobank
NEALE2_20003_1140879802	Amlodipine | treatment/medication code	22	EFO_0007010	UK Biobank
NEALE2_20003_1140883066	Insulin product | treatment/medication code	11	EFO_0007010	UK Biobank
NEALE2_20003_1140884516	Thyroxine product | treatment/medication code	9	EFO_0007010	UK Biobank
NEALE2_20003_1140888266	Warfarin | treatment/medication code	12	EFO_0007010	UK Biobank
NEALE2_20003_1141146234	Atorvastatin | treatment/medication code	22	EFO_0007010	UK Biobank
NEALE2_20003_1141191044	Levothyroxine sodium | treatment/medication code	69	EFO_0007010	UK Biobank
NEALE2_20003_1141192410	Rosuvastatin | treatment/medication code	13	EFO_0007010	UK Biobank
NEALE2_20003_1141192736	Ezetimibe | treatment/medication code	10	EFO_0007010	UK Biobank
NEALE2_20003_1141194794	Bendroflumethiazide | treatment/medication code	36	EFO_0007010	UK Biobank
NEALE2_135	Number of self-reported non-cancer illnesses	29	EFO_0009801	UK Biobank
NEALE2_136	Number of operations, self-reported	13	EFO_0009802	UK Biobank
NEALE2_137	Number of treatments/medications taken	30	EFO_0009803	UK Biobank
NEALE2_20002_1111	Asthma | non-cancer illness code, self-reported	105	EFO_0000270	UK Biobank
NEALE2_20002_1226	Hypothyroidism/myxoedema | non-cancer illness code, self-reported	115	EFO_1001055, HP_0000836	UK Biobank
NEALE2_20002_1265	Migraine | non-cancer illness code, self-reported	15	EFO_0003821	UK Biobank
NEALE2_20003_1140861958	Simvastatin | treatment/medication code	39	CHEBI_9150	UK Biobank
NEALE2_20003_1140884600	Metformin | treatment/medication code	34	CHEBI_6801	UK Biobank
NEALE2_20003_2038460150	Paracetamol | treatment/medication code	11	CHEBI_46195	UK Biobank
NEALE2_20002_1220	Diabetes | non-cancer illness code, self-reported	48	EFO_0000400	UK Biobank
NEALE2_20002_1065	Hypertension | non-cancer illness code, self-reported	253	EFO_0000537	UK Biobank
NEALE2_20002_1075	Heart attack/myocardial infarction | non-cancer illness code, self-reported	13	EFO_0000612	UK Biobank
NEALE2_20002_1471	Atrial fibrillation | non-cancer illness code, self-reported	17	EFO_0000275	UK Biobank
NEALE2_20002_1162	Cholelithiasis/gall stones | non-cancer illness code, self-reported	19	EFO_0004210, EFO_0004799	UK Biobank
NEALE2_20002_1456	Malabsorption/coeliac disease | non-cancer illness code, self-reported	21	EFO_0001060, HP_0002024	UK Biobank
NEALE2_20001_1061	Basal cell carcinoma | cancer code, self-reported	12	EFO_0004193	UK Biobank
NEALE2_20002_1453	Psoriasis | non-cancer illness code, self-reported	20	EFO_0000676	UK Biobank
NEALE2_20002_1387	Hayfever/allergic rhinitis | non-cancer illness code, self-reported	24	EFO_0003956, EFO_0005854	UK Biobank
NEALE2_20002_1466	Gout | non-cancer illness code, self-reported	23	EFO_0004274	UK Biobank
FINNGEN_R5_M13_VARUS	Varus deformity, not elsewhere classified	1	HP_0000118	FinnGEN
FINNGEN_R5_O15_ANTEPART_HAEM_NAS	Antepartum haemorrhage, not elsewhere classified	1	HP_0025328	FinnGEN
FINNGEN_R5_O15_FALSE_LAB	False labour	1	EFO_0009639	FinnGEN
FINNGEN_R5_O15_LABOUR_MALPOS	Obstructed labour due to malposition and malpresentation of fetus	1	HP_0001787	FinnGEN
FINNGEN_R5_R18_ABNORMALITI_GAIT_MOBIL	Abnormalities of gait and mobility	1	HP_0001288	FinnGEN
FINNGEN_R5_R18_ASCITES	Ascites	1	HP_0001541	FinnGEN
FINNGEN_R5_R18_ISOLATED_PROTEINU	Isolated proteinuria	1	HP_0000093	FinnGEN
FINNGEN_R5_R18_OTHER_SKIN_CHANG	Other skin changes	1	HP_0000951	FinnGEN
FINNGEN_R5_R18_OTHER_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN	Other symptoms and signs involving the digestive system and abdomen	1	HP_0025031	FinnGEN
FINNGEN_R5_R18_OTHER_SYMPTOMS_SIGNS_INVOLVI_NERVOUS_MUSCULOS_SYSTEMS	Other symptoms and signs involving the nervous and musculoskeletal systems	1	HP_0000707, HP_0000924	FinnGEN
FINNGEN_R5_R18_PAIN_ASSOCIATED_W_MICTU	Pain associated with micturition	1	EFO_0003901	FinnGEN
FINNGEN_R5_R18_POLYURIA	Polyuria	1	HP_0000103	FinnGEN
FINNGEN_R5_ST19_CONTU_OTHER_UNSPE_PARTS_FOOT	Contusion of other and unspecified parts of foot	1	EFO_0010680	FinnGEN
FINNGEN_R5_ST19_HYPOTHERMIA	Hypothermia	1	HP_0002045	FinnGEN
FINNGEN_R5_ST19_OPEN_WOUND_HEAD	Open wound of head	2	EFO_0005756	FinnGEN
FINNGEN_R5_ST19_OPEN_WOUND_LOWER_LEG	Open wound of lower leg	1	EFO_0005756	FinnGEN
FINNGEN_R5_E4_HYPERKALAEMIA	Hyperkalaemia	1	HP_0002153	FinnGEN
FINNGEN_R5_E4_HYPOGLYC	Hypoglycaemia, other or unspecified	3	HP_0001943	FinnGEN
FINNGEN_R5_E4_HYPOOSMNAT	Hypo-osmolality and hyponatraemia	1	HP_0001939, HP_0002902	FinnGEN
FINNGEN_R5_F5_DEMINOTH	Dementia in other diseases classified elsewhere	1	HP_0000726	FinnGEN
FINNGEN_R5_F5_MILDRET	Mild mental retardation	1	HP_0001256	FinnGEN
FINNGEN_R5_F5_SEXDYS	Sexual dysfunction	1	EFO_0004714	FinnGEN
FINNGEN_R5_H7_CONVERGINSUFF	Convergence insufficiency and excess	1	HP_0000549	FinnGEN
FINNGEN_R5_H7_CONVERSTRAB	Convergent concomitant strabismus	1	HP_0000486	FinnGEN
FINNGEN_R5_H7_EPISCLERITIS	Episcleritis	2	HP_0100534	FinnGEN
FINNGEN_R5_H7_HYPERMETRO	Hypermetropia	2	HP_0000540	FinnGEN
FINNGEN_R5_H7_INTERHETEROTRO	Intermittent heterotropia	1	HP_0000486	FinnGEN
FINNGEN_R5_H7_VERTISTRAB	Vertical strabismus	1	HP_0000486	FinnGEN
FINNGEN_R5_H8_MASTCHRON	Chronic mastoiditis	1	HP_0000265	FinnGEN
FINNGEN_R5_H8_STENOEXTCAN	Acquired stenosis of external ear canal	1	HP_0000402	FinnGEN
FINNGEN_R5_H8_TINNITUS	Tinnitus	1	HP_0000360	FinnGEN
FINNGEN_R5_I9_RBBB	Right bundle-branch block	1	HP_0011712	FinnGEN
FINNGEN_R5_JOINTPAIN	Pain in joint	2	HP_0002829	FinnGEN
FINNGEN_R5_K11_OTHABDHER	Other and unspecified abdominal hernia	1	HP_0004299	FinnGEN
FINNGEN_R5_K11_PARALIL	Paralytic ileus	1	HP_0002590	FinnGEN
FINNGEN_R5_L12_ERYTH_NAS	Other and unspecified erythematous conditions	1	HP_0010783	FinnGEN
FINNGEN_R5_L12_NAIL_DYSTROPHY	Nail dystrophy	1	HP_0008404	FinnGEN
FINNGEN_R5_L12_OTHERMELANIN	Other melanin hyperpigmentation	1	EFO_0009047	FinnGEN
FINNGEN_R5_L12_PYODERMA	Pyoderma	1	HP_0000999	FinnGEN
FINNGEN_R5_L12_STRIAEATROPHICAE	Striae atrophicae	1	HP_0001065	FinnGEN
FINNGEN_R5_M13_ARTHINOTH	Arthropathies in other diseases classified elsewhere	2	HP_0003040	FinnGEN
FINNGEN_R5_M13_BURSCYSTOTH	Other bursal cyst	1	HP_0032072	FinnGEN
FINNGEN_R5_M13_CERVICALGIA	Cervicalgia	1	HP_0030833	FinnGEN
FINNGEN_R5_M13_JOINTOTH	Other specific joint derangements/joint disorders	5	HP_0001373	FinnGEN
FINNGEN_R5_Z21_OUTCO_DELIV	Outcome of delivery	1	EFO_0006922	FinnGEN
FINNGEN_R5_Z21_PROBL_RELATED_CARE__DEPENDENCY	Problems related to care-provider dependency	1	EFO_0007869	FinnGEN
FINNGEN_R5_Z21_PROBL_RELATED_LIFE_M_DIFFICULTY	Problems related to life-management difficulty	1	EFO_0007869	FinnGEN
FINNGEN_R5_Q17_CONGEN_MALFO_GREAT_ARTERIES	Congenital malformations of great arteries	1	Orphanet_98724	FinnGEN
FINNGEN_R5_R18_ABNORMAL_FINDI_DIAGNOST_IMAGI_OTHER_BODY_STRUCTURES	Abnormal findings on diagnostic imaging of other body structures	1	EFO_0009827	FinnGEN
FINNGEN_R5_R18_ABNORMAL_RESULTS_FUNCTION_STUDI	Abnormal results of function studies	1	EFO_0009628	FinnGEN
FINNGEN_R5_VWXY20_FALL_SAME_LEVEL_INVOLVI_ICE_SNOW	Fall on same level involving ice and snow	1	EFO_0009631	FinnGEN
FINNGEN_R5_Z21_ANKLE_FOOT	Ankle and foot	1	NA	FinnGEN
FINNGEN_R5_Z21_DESEN_ALLERGE	Desensitization to allergens	1	NA	FinnGEN
FINNGEN_R5_Z21_EXAM_OBSER_OTH_REASO	Examination and observation for other reasons	2	EFO_0009517	FinnGEN
FINNGEN_R5_Z21_FOLLOW__EXAM_TREAT_CONDI_OTH_MALIG_NEOPLASMS	Follow-up examination after treatment for conditions other than malignant neoplasms	2	NA	FinnGEN
FINNGEN_R5_Z21_MEDICAL_OBSER_EVALU_SUSPECTED_DISEA_CONDI	Medical observation and evaluation for suspected diseases and conditions	2	EFO_0009517	FinnGEN
FINNGEN_R5_Z21_NEED_IMMUNI_OTH_SINGLE_VIRAL_DISEA	Need for immunization against other single viral diseases	1	NA	FinnGEN
FINNGEN_R5_Z21_PERSONS_ENCOUNTERI_HEALTH_SERVI_OTH_CIRCUMSTANC2	Persons encountering health services in other circumstances	1	EFO_0009786	FinnGEN
FINNGEN_R5_Z21_PROBL_RELATED_EMPLO_UNEMP	Problems related to employment and unemployment	1	EFO_0009696	FinnGEN
FINNGEN_R5_AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	2	MONDO_0045031	FinnGEN
FINNGEN_R5_ASTHMA_NONALLERG	Non-allergic asthma	1	EFO_0000270	FinnGEN
FINNGEN_R5_D3_NONHEREDHYPOGAMMA	Nonhereditary hypogammaglobulinemia	1	Orphanet_183669	FinnGEN
FINNGEN_R5_E4_CA_MET	Disorders of calcium metabolism	1	EFO_0005769	FinnGEN
FINNGEN_R5_F5_SCHZPHR	Schizophrenia	1	EFO_0000692	FinnGEN
FINNGEN_R5_K11_EMBIMPACT_TEETH	Embedded and impacted teeth	3	HP_0000706, HP_0011079	FinnGEN
FINNGEN_R5_L12_PSORI_PUSTUPALM	Pustulosis palmaris et plantaris	1	Orphanet_163927	FinnGEN
FINNGEN_R5_M13_ATLOAXSUBLUX	Atlantoaxial subluxation	1	HP_0003414	FinnGEN
