outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
NEALE2_20107_3	Lung cancer | illnesses of father	4	EFO_0001071	UK Biobank
SAIGE_165	Cancer within the respiratory system	4	MONDO_0000376	UK Biobank
SAIGE_189_2	Cancer of bladder	4	MONDO_0001187	UK Biobank
SAIGE_211	Benign neoplasm of other parts of digestive system	4	MONDO_0000385	UK Biobank
SAIGE_565_1	Anal and rectal polyp	4	MONDO_0021398	UK Biobank
FINNGEN_R5_C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (controls excluding all cancers)	4	EFO_0003769	FinnGEN
FINNGEN_R5_C3_THYROID_GLAND_EXALLC	Malignant neoplasm of thyroid gland (controls excluding all cancers)	4	MONDO_0002108	FinnGEN
FINNGEN_R5_IPF	Idiopathic pulmonary fibrosis	9	EFO_0009448	FinnGEN
SAIGE_696_41	Psoriasis vulgaris	4	EFO_1001494	UK Biobank
FINNGEN_R5_L12_DERMATITISNAS	Other and unspecified dermatitis	2	MONDO_0002406	FinnGEN
FINNGEN_R5_L12_FOLLICULARCYST	Follicular cysts of skin and subcutaneous tissue	7	EFO_1001329	FinnGEN
FINNGEN_R5_POLLENALLERG	Pollen allergy	3	EFO_0003956	FinnGEN
SAIGE_496	Chronic airway obstruction	4	EFO_0000341	UK Biobank
FINNGEN_R5_COPD_MODE	COPD (mode)	1	EFO_0000341	FinnGEN
FINNGEN_R5_N14_OTHNONINFUTER	Other noninflammatory disorders of uterus, except cervix	3	MONDO_0002654	FinnGEN
FINNGEN_R5_E4_DM2OPTH	Type 2 diabetes with ophthalmic complications	3	EFO_0001360, EFO_0009518	FinnGEN
FINNGEN_R5_OTHER_SYSTCON_FG	Other systemic involvement of connective tissue (FG)	4	EFO_1001986	FinnGEN
FINNGEN_R5_RHEUMA_NOS	Other/unspecified rheumatoid arthritis	5	EFO_0000685	FinnGEN
FINNGEN_R5_ST19_FRACT_LOWER_LEG_INCLU_ANKLE	Fracture of lower leg, including ankle	1	EFO_0003944	FinnGEN
SAIGE_709_7	Unspecified diffuse connective tissue disease	4	EFO_1001986	UK Biobank
FINNGEN_R5_GOUT	Gout, FINNGEN	8	EFO_0004274	FinnGEN
FINNGEN_R5_GOUT_STRICT	Gout, strict definition	8	EFO_0004274	FinnGEN
FINNGEN_R5_M13_ANKYLOSPON_STRICT	Ankylosing spondylitis, strict definition	7	EFO_0003898	FinnGEN
FINNGEN_R5_M13_GOUT	Gout	8	EFO_0004274	FinnGEN
GCST90060133	Cholesterol_[M+H-H2O]1+ levels	4	EFO_0010231	GWAS Catalog
GCST90060188	Diacylglycerol_36:4_[M+H-H2O]1+ levels	4	EFO_0020063	GWAS Catalog
GCST90060195	Diacylglycerol_34:2_[M+NH4]1+ levels	4	EFO_0010353	GWAS Catalog
GCST90060214	Ceramide_42:1_[M-H]1- levels	4	EFO_0010224	GWAS Catalog
GCST90060220	Cholesteryl ester_18:2_[M+NH4]1+ levels	4	EFO_0010345	GWAS Catalog
GCST90060230	Phosphatidylcholine-O_30:1_[M+H]1+/Phosphatidylcholine-P_30:0_[M+H]1+/Phosphatidylethanolamine-O_33:1_[M+H]1+ levels	4	EFO_0010226	GWAS Catalog
GCST90060237	Phosphatidylcholine-O_31:2_[M+H]1+/Phosphatidylcholine-P_31:1_[M+H]1+/Phosphatidylethanolamine-O_34:2_[M+H]1+ levels	4	EFO_0010226	GWAS Catalog
GCST90060245	Diacylglycerol_44:6_[M+H-H2O]1+ levels	4	EFO_0020070	GWAS Catalog
GCST90060257	Phosphatidylethanolamine-O_36:5_[M+H]1+/Phosphatidylethanolamine-P_36:4_[M+H]1+ levels	4	EFO_0010228	GWAS Catalog
GCST90060267	Phosphatidylcholine_32:1_[M+H]1+/Phosphatidylethanolamine_35:1_[M+H]1+/Phosphatidate_37:2_[M+NH4]1+ levels	4	EFO_0010226	GWAS Catalog
GCST90060307	Phosphatidylcholine_34:1_[M+H]1+/Phosphatidylethanolamine_37:1_[M+H]1+/Phosphatidate_39:2_[M+NH4]1+ levels	4	EFO_0010226	GWAS Catalog
GCST90060311	Phosphatidylcholine_34:0_[M+H]1+/Phosphatidylethanolamine_37:0_[M+H]1+/Phosphatidate_39:1_[M+NH4]1+ levels	4	EFO_0010226	GWAS Catalog
