trait_key_term	to_remove
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	NA
Benign mammary dysplasia	NA
Benign mammary dysplasias	NA
Benign neoplasm of bone and articular cartilage	NA
Benign neoplasm of brain and other parts of central nervous system	NA
Benign neoplasm of brain, cranial nerves, meninges	NA
Benign neoplasm of breast	NA
Benign neoplasm of colon	NA
Benign neoplasm of colon, rectum, anus and anal canal	NA
Benign neoplasm of eye	NA
Benign neoplasm of eye and adnexa	NA
Benign neoplasm of kidney and other urinary organs	NA
Benign neoplasm of major salivary glands	NA
Benign neoplasm of other and unspecified endocrine glands	NA
Benign neoplasm of other and unspecified sites	NA
Benign neoplasm of other parts of digestive system	NA
Benign neoplasm of ovary	NA
Benign neoplasm of parathyroid gland	NA
Benign neoplasm of skin	NA
Benign neoplasm of thyroid gland	NA
Benign neoplasm of unspecified sites	NA
Benign neoplasm of urinary organs	NA
Benign neoplasm of uterus	NA
Benign neoplasm: Adrenal gland	NA
Benign neoplasm: Appendix	NA
Benign neoplasm: Ascending colon	NA
Benign neoplasm: Caecum	NA
Benign neoplasm: Central nervous system, other parts/unspecified	NA
Benign neoplasm: Cerebral meninges	NA
Benign neoplasm: Choroid	NA
Benign neoplasm: Colon	NA
Benign neoplasm: Colon, unspecified	NA
Benign neoplasm: Connective and other soft tissue of thorax	NA
Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder	NA
Benign neoplasm: Cranial nerves	NA
Benign neoplasm: Descending colon	NA
Benign neoplasm: Duodenum	NA
Benign neoplasm: Endocrine pancreas	NA
Benign neoplasm: Ill-defined sites within the digestive system	NA
Benign neoplasm: Larynx	NA
Benign neoplasm: Lip	NA
Benign neoplasm: Liver/bile ducts	NA
Benign neoplasm: Long bones of lower limb	NA
Benign neoplasm: Middle ear, nasal cavity and accessory sinuses	NA
Benign neoplasm: Other and unspecified parts of mouth	NA
Benign neoplasm: Other and unspecified parts of small intestine	NA
Benign neoplasm: Other/unspecified site	NA
Benign neoplasm: Parathyroid gland	NA
Benign neoplasm: Parotid gland	NA
Benign neoplasm: Pituitary gland, craniopharyngeal duct	NA
Benign neoplasm: Rectosigmoid junction	NA
Benign neoplasm: Rectum	NA
Benign neoplasm: Rectum, anus and anal canal	NA
Benign neoplasm: Retina	NA
Benign neoplasm: salivary glands, exclude unknown (D119)	NA
Benign neoplasm: Scapula and long bones of upper limb	NA
Benign neoplasm: Short bones of lower limb	NA
Benign neoplasm: Short bones of upper limb	NA
Benign neoplasm: Sigmoid colon	NA
Benign neoplasm: Spinal cord	NA
Benign neoplasm: Stomach	NA
Benign neoplasm: Transverse colon	NA
Benign neoplasm: Vagina	NA
Benign neoplasm: Vulva	NA
Benign neoplasms	NA
Benign neoplasms (all cancers excluded)	NA
benzodiazepine|sedative|anxiety	NA
Berry intake	Y
beta-lactam antibiotic|antibiotic	NA
beta-lactam antibiotic|beta-lactamase inhibitor|antibiotic	NA
beta-lactam antibiotic|first generation cephalasporin|antibiotic	NA
beta2-agonist|beta blocker|asthma	NA
beta2-agonist|bronchodilator|asthma	NA
beta2-agonist|corticosteroid|beta agonist|asthma	NA
betahistine	NA
betamethasone	NA
bezafibrate	NA
Bezafibrate	NA
Bicipital tendinitis	NA
Bicuspidal aortic valve syndrome	NA
biguanides|diabetes	NA
Bilateral oophorectomy (both ovaries removed)	NA
Biliary cirrhosis, NAS	NA
binge eating	NA
Biological medication for rheuma	NA
Biological medicines for asthma	NA
Biomarkers	Y
Biomechanical lesions, not elsewhere classified	NA
Bipolar affective disorders	NA
Bipolar and major depression status	NA
Bipolar Disorder	NA
bipolar disorder	NA
Birth asphyxia	NA
Birth weight	Y
Birth Weight	NA
Birth weight known	NA
Birth weight of first child	Y
bisoprolol	NA
bisphosphanate|osteoporosis	NA
bladder disease	NA
Bladder neck obstruction	NA
Bleeding	NA
Blepharochalasis	NA
Blood clot in the leg (dvt) | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	NA
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor	NA
blood coagulation disease	NA
Blood Coagulation Disorders	NA
Blood Coagulation Disorders, Inherited	NA
Blood Platelet Disorders	NA
blood pressure	NA
Blood Pressure	NA
Blood pressure medication | medication for cholesterol, blood pressure or diabetes	NA
Blood pressure medication | medication for cholesterol, blood pressure, diabetes, or take exogenous hormones	NA
Body Composition	NA
Body fat percentage	NA
Body Height	NA
Body Mass Index	NA
Body mass index (BMI)	NA
Body Size	NA
Body Weights and Measures	NA
Body-mass index, inverse-rank normalized	NA
Boiled/baked potatoes intake	Y
Bone Demineralization, Pathologic	NA
Bone Density	NA
Bone disorder	NA
bone fracture	NA
brain aneurysm	NA
Brain glioblastoma and astrocytoma, excluding all cancers (controls excluding all cancers)	NA
Brain glioblastoma, excluding all cancers (controls excluding all cancers)	NA
Brain meningioma, excluding all cancers (controls excluding all cancers)	NA
Brain MRI measuring method	NA
Bran cereal intake	Y
Bread intake	Y
Breaded fish intake	Y
Breast cancer	NA
Breast cancer [female]	NA
breast carcinoma	NA
Breast conditions, congenital or relating to hormones	NA
Breast Cyst	NA
Breast Diseases	NA
Breast Neoplasms	NA
Breastfed as a baby	Y
Breathing problems during period of job	NA
Breathing problems improved/stopped away from workplace or on holiday	NA
Breathing problems responsible for leaving job	NA
brimonidine	NA
Bring up phlegm/sputum/mucus on most days	NA
brinzolamide	NA
Broad bean intake	Y
bronchial disease	NA
Bronchiectasis	NA
Bronchitis	NA
Bronchitis, not specified as acute or chronic	NA
Brown rice intake	Y
budesonide/formoterol	NA
bulimia nervosa	NA
Bullous disorders	NA
bumetanide	NA
Bundle branch block	NA
Bundle-Branch Block	NA
Bunion	NA
Bursitis	NA
Bursitis of shoulder	NA
Butter	Y
C-C motif chemokine 20 levels	Y
C-reactive protein	NA
C-reactive protein measurement	NA
C15 Malignant neoplasm of oesophagus	NA
C18 Malignant neoplasm of colon	NA
C21 Malignant neoplasm of anus and anal canal	NA
C22 Malignant neoplasm of liver and intrahepatic bile ducts	NA
C25 Malignant neoplasm of pancreas	NA
C34 Malignant neoplasm of bronchus and lung	NA
C43 Malignant melanoma of skin	NA
C44 Other malignant neoplasms of skin	NA
C50 Malignant neoplasm of breast	NA
C53 Malignant neoplasm of cervix uteri	NA
C57 Malignant neoplasm of other and unspecified female genital organs	NA
C67 Malignant neoplasm of bladder	NA
C71 Malignant neoplasm of brain	NA
C76 Malignant neoplasm of other and ill-defined sites	NA
C78 Secondary malignant neoplasm of respiratory and digestive organs	NA
C80 Malignant neoplasm without specification of site	NA
C82 Follicular [nodular] non-Hodgkin's lymphoma	NA
C83 Diffuse non-Hodgkin's lymphoma	NA
C85 Other and unspecified types of non-Hodgkin's lymphoma	NA
C90 Multiple myeloma and malignant plasma cell neoplasms	NA
C91 Lymphoid leukaemia	NA
C92 Myeloid leukaemia	NA
Cabbage/kale intake	Y
cadherin 5	Y
Caffeine drink within last hour	NA
Cake intake	Y
Calcific aortic valvular stenosis, operated	NA
Calcific tendinitis of shoulder	NA
calcipotriene	NA
calcipotriol	NA
Calcium	NA
calcium carbonate/sodium alginate/sodium bicarbonate	NA
calcium carbonate/vitamin D3	NA
calcium channel blocker|anti-hypertensive|dihydropyridine	NA
calcium channel blocker|dihydropyridine|anti-hypertensive	NA
Calculus of bile duct	NA
Calculus of kidney	NA
Calculus of kidney and ureter	NA
Calculus of lower urinary tract	NA
Calculus of ureter	NA
Campylobacter enteritis	NA
Cancer diagnosed by doctor	NA
Cancer of bladder	NA
Cancer of brain	NA
Cancer of brain and nervous system	NA
Cancer of bronchus; lung	NA
Cancer of esophagus	NA
Cancer of eye	NA
Cancer of larynx, pharynx, nasal cavities	NA
Cancer of liver and intrahepatic bile duct	NA
Cancer of other female genital organs (excluding uterus and ovary)	NA
Cancer of other lymphoid, histiocytic tissue	NA
Cancer of other male genital organs	NA
Cancer of prostate	NA
