trait_key_term	to_remove
Ever unenthusiastic/disinterested for a whole week	NA
Ever used hormone-replacement therapy (HRT)	NA
Ever worried more than most people would in similar situation	NA
Excessive or frequent menstruation	NA
Excessive vomiting in pregnancy	NA
Excessive, frequent and irregular menstruation	NA
Exercise	NA
Exfoliative dermatitis	NA
Exophthalmic conditions	NA
Exophthalmos	NA
Exposure to tobacco smoke at home	NA
Exposure to tobacco smoke outside home	NA
Extrapyramidal and movement disorders	NA
Extrapyramidal disease and abnormal movement disorders	NA
Extrinsic allergic alveolitis	NA
eye disease	NA
Eye Pain	NA
Eye problems/disorders	NA
Eyelid Diseases	NA
ezetimibe	NA
Ezetimibe	NA
F00 Dementia in Alzheimer's disease	NA
F01 Vascular dementia	NA
F02 Dementia in other diseases classified elsewhere	NA
F05 Delirium, not induced by alcohol and other psychoactive substances	NA
F06 Other mental disorders due to brain damage and dysfunction and to physical disease	NA
F10 Mental and behavioural disorders due to use of alcohol	NA
F11 Mental and behavioural disorders due to use of opioids	NA
F17 Mental and behavioural disorders due to use of tobacco	NA
F20 Schizophrenia	NA
F30 Manic episode	NA
F32 Depressive episode	NA
F33 Recurrent depressive disorder	NA
F41 Other anxiety disorders	NA
F60 Specific personality disorders	NA
Facial ageing	NA
Failed induction of labour	NA
Falls in the last year	NA
Falls/tendency to fall	NA
False labour	Y
Familial hypercholesterolemia	NA
Familial hypercholesterolemia, with ischemic heart disease	NA
Family relationship satisfaction	NA
Fasciitis	NA
Father still alive	Y
Father's age	Y
Father's age at death	NA
Fed-up feelings	NA
Feelings of worthlessness during worst period of depression	NA
Felt distant from other people in past month	NA
Felt hated by family member as a child	NA
Felt irritable or had angry outbursts in past month	NA
Felt loved as a child	Y
Felt very upset when reminded of stressful experience in past month	NA
Felty syndrome	NA
Female infertility, associated with anovulation	NA
Female infertility, cervigal, vaginal, other or unspecified origin	NA
Female infertility, tubal origin	NA
Femoral hernia	NA
Fenofibrate	NA
Ferritins	NA
ferrous fumarate	NA
FEV1/FVC ratio	NA
Fever of unknown origin	NA
FI10 : arithmetic sequence recognition	NA
FI12 : square sequence recognition	NA
FI3 : word interpolation	NA
FI4 : positional arithmetic	NA
FI6 : conditional arithmetic	NA
FI7 : synonym	NA
FI8 : chained arithmetic	NA
FI9 : concept interpolation	NA
fibrate|anti-cholesterol agent	NA
Fibrinogen gamma chain measurement	Y
fibroblast growth factor 23	Y
Fibroblast Growth Factor 5	NA
Fibroblasts	NA
Filtered coffee intake	Y
Final attempt correct	NA
Financial situation satisfaction	NA
finasteride	NA
Finngen Rheumatological endpoints	NA
First degree AV block	NA
First line medication for Crohns disease	NA
first-generation anti-psychotic|anti-emetic	NA
Fizzy drink intake	Y
Flat foot	NA
Flatfoot	NA
Flavoured milk intake	Y
flecainide	NA
flucloxacillin	NA
fluconazole	NA
Fludrocortisone	NA
Fluid intelligence score	NA
fluoroquinolone antibiotic|antibiotic	NA
Fluoxetine	NA
fluticasone	NA
fluticasone/salmeterol	NA
Folate-deficiency anemia	NA
folic acid	NA
Folic acid product | treatment/medication code	NA
folic acid supplement|Food Supplement	Y
Follicular adenocarcinoma of thyroid gland, excluding all cancers (controls excluding all cancers)	NA
Follicular Cyst	NA
Follistatin	Y
food allergy	NA
Food weight	Y
Forced Expiratory Volume	NA
Forced expiratory volume in 1-second (FEV1)	NA
Forced expiratory volume in 1-second (FEV1), Best measure	NA
Forced expiratory volume in 1-second (FEV1), predicted	NA
Forced expiratory volume in 1-second (FEV1), predicted percentage	NA
Forced vital capacity (FVC)	NA
Forced vital capacity (FVC), Best measure	NA
Former alcohol drinker	NA
Fourth [trochlear] nerve palsy	NA
Fraction of day affected during worst episode of depression	NA
Fracture at wrist and hand level	NA
Fracture of clavicle or scapula	NA
Fracture of femur	NA
Fracture of foot, except ankle	NA
Fracture of forearm	NA
Fracture of hand or wrist	NA
Fracture of humerus	NA
Fracture of lower leg, including ankle	NA
Fracture of lower limb	NA
Fracture of lumbar spine and pelvis	NA
Fracture of neck	NA
Fracture of neck of femur	NA
Fracture of pelvis	NA
Fracture of radius and ulna	NA
Fracture of rib(s), sternum and thoracic spine	NA
Fracture of ribs	NA
Fracture of shoulder and upper arm	NA
Fracture of unspecified part of femur	NA
Fracture of upper limb	NA
Fracture resulting from simple fall	NA
Fractured bone site(s)	NA
Fractured/broken bones in last 5 years	NA
Fractures, Bone	NA
Frailty	NA
Frequency of consuming six or more units of alcohol	NA
Frequency of depressed mood in last 2 weeks	NA
Frequency of difficulty controlling worry during worst period of anxiety	NA
Frequency of drinking alcohol	NA
Frequency of failure to fulfil normal expectations due to drinking alcohol in last year	NA
Frequency of feeling guilt or remorse after drinking alcohol in last year	NA
Frequency of friend/family visits	Y
Frequency of heavy DIY in last 4 weeks	Y
Frequency of inability to cease drinking in last year	NA
Frequency of light DIY in last 4 weeks	Y
Frequency of memory loss due to drinking alcohol in last year	NA
Frequency of other exercises in last 4 weeks	NA
Frequency of solarium/sunlamp use	Y
Frequency of stair climbing in last 4 weeks	Y
Frequency of strenuous sports in last 4 weeks	NA
Frequency of tenseness / restlessness in last 2 weeks	NA
Frequency of tiredness / lethargy in last 2 weeks	NA
Frequency of travelling from home to job workplace	Y
Frequency of unenthusiasm / disinterest in last 2 weeks	NA
Frequency of unusual or psychotic experiences in past year	NA
Frequency of walking for pleasure in last 4 weeks	Y
Fresh fruit intake	Y
Fresh tomato intake	Y
Fried potatoes intake	Y
Friendships satisfaction	Y
Frontotemporal dementia	NA
Fruit consumers	Y
Fruitcake intake	Y
Frustration	Y
Full cream | milk type used	Y
Functional digestive disorders	NA
Functional disorders of bladder	NA
Functional dyspepsia	NA
Functional Laterality	Y
functional laterality	Y
fusidic acid	NA
fusidic acid/betamethasone	NA
G25 Other extrapyramidal and movement disorders	NA
G30 Alzheimer's disease	NA
G31 Other degenerative diseases of nervous system, not elsewhere classified	NA
G37 Other demyelinating diseases of central nervous system	NA
G40 Epilepsy	NA
G47 Sleep disorders	NA
G50 Disorders of trigeminal nerve	NA
G55 Nerve root and plexus compressions in diseases classified elsewhere	NA
G56 Mononeuropathies of upper limb	NA
G57 Mononeuropathies of lower limb	NA
G63 Polyneuropathy in diseases classified elsewhere	NA
G71 Primary disorders of muscles	NA
G72 Other myopathies	NA
G81 Hemiplegia	NA
G93 Other disorders of brain	NA
G96 Other disorders of central nervous system	NA
G99 Other disorders of nervous system in diseases classified elsewhere	NA
GABA agonist|muscle relaxant	NA
GABA agonist|sedative	NA
gabapentin	NA
Galactorrhea	NA
Galectin 3	Y
Galectin-3-binding protein measurement	Y
gallbladder disease	NA
Gallbladder Diseases	NA
Gallstones	NA
Gamma glutamyltransferase	NA
Gamma-glutamyl hydrolase measurement	Y
gamolenic acid	NA
Ganglion	NA
Ganglion and cyst of synovium, tendon, and bursa	NA
Gap coding	Y
Garlic bread intake	Y
Garlic intake	Y
Gas or solid-fuel cooking/heating	NA
Gastritis	NA
gastritis	NA
Gastritis and duodenitis	NA
Gastro-oesophageal reflux disease	NA
Gastroesophageal laceration-hemorrhage syndrome	NA
Gastroesophageal Reflux	NA
gastroesophageal reflux disease	NA
Gastrointestinal hemorrhage	NA
gastrointestinal obstruction	NA
General happiness	Y
General happiness with own health	Y
Generalized anxiety disorder	NA
Generalized convulsive epilepsy	NA
Generalized epilepsy	NA
Generalized epilepsy, mode (most common among epilepsy diagnosis)	NA
Generalized skin eruption due to drugs and medicaments	NA
Genetic ethnic grouping	NA
Genetic kinship to other participants	NA
Genital Diseases, Female	NA
Genital prolapse	NA
Genitourinary diseases	NA
gentamicin/hydrocortisone	NA
GERD	NA
Gestational [pregnancy-induced] hypertension	NA
Gestational [pregnancy-induced] oedema and proteinuria without hypertension	NA
Getting up in morning	Y
Giant cell arteritis	NA
Gigantomastia	NA
Gilbert Disease	NA
Gilbert syndrome	NA
Gingival and periodontal diseases	NA
Gingival hyperplasia	NA
Gingivitis and periodontal diseases	NA
Glaucoma	NA
glaucoma	NA
Glaucoma secondary to eye inflammation	NA
Glaucoma, exfoliation	NA
gliclazide	NA
Glomerular diseases	NA
Glomerular disorders in diseases classified elsewhere	NA
Glomerular Filtration Rate	NA
Glomerular filtration rate in diabetics (creatinine)	NA
Glomerular filtration rate in non diabetics (creatinine)	NA
Glomerulonephritis	NA
Glomerulonephritis, Membranous	NA
Glossitis	NA
Glucocorticoid deficiency	NA
Glucosamine medication	NA
Glucose	NA
Glucose Metabolism Disorders	NA
Gluten-free | type of special diet followed	Y
Glycated haemoglobin (HbA1c)	NA
glyceryl trinitrate	NA
goiter	NA
Goiter, Nodular	NA
Gonarthrosis, primary, with knee surgery	NA
Gout	NA
gout	NA
Gout and other crystal arthropathies	NA
Gout, strict definition	NA
Gout, unspecified	NA
Gouty arthropathy	NA
Gram negative septicemia	NA
Gram positive septicemia	NA
Granuloma annulare	NA
Granulomatous disorders of skin and subcutaneous tissue	NA
Grape intake	Y
Graves Disease	NA
Graves disease, strict definition	NA
Graves ophthalmopathy	NA
Graves ophthalmopathy, strict	NA
Graves' disease	NA
Growth	NA
Growth Differentiation Factor 15	Y
Guillain-Barre syndrome	NA
Guilt	Y
Guilty feelings	Y
Guttate psoriasis	NA
H00 Hordeolum and chalazion	NA
H02 Other disorders of eyelid	NA
H04 Disorders of lachrymal system	NA
H05 Disorders of orbit	NA
H06 Disorders of lachrymal system and orbit in diseases classified elsewhere	NA
H1-receptor agonist|anti-vertigo agent|antihistamine	NA
H18 Other disorders of cornea	NA
H20 Iridocyclitis	NA
H21 Other disorders of iris and ciliary body	NA
H25 Senile cataract	NA
H26 Other cataract	NA
H31 Other disorders of choroid	NA
H33 Retinal detachments and breaks	NA
H35 Other retinal disorders	NA
H36 Retinal disorders in diseases classified elsewhere	NA
H40 Glaucoma	NA
H47 Other disorders of optic [2nd] nerve and visual pathways	NA
H60 Otitis externa	NA
H65 Nonsuppurative otitis media	NA
H66 Suppurative and unspecified otitis media	NA
H69 Other disorders of Eustachian tube	NA
H72 Perforation of tympanic membrane	NA
H80 Otosclerosis	NA
H81 Disorders of vestibular function	NA
H83 Other diseases of inner ear	NA
Habit and impulse disorders	NA
Had major operations	NA
Had menopause	NA
Had other major operations	NA
Haematocrit percentage	NA
Haemoglobin concentration	NA
Haemorrhoids and perianal venous thrombosis	NA
hair color	Y
Hair Color	Y
hair shape measurement	Y
Hallucinations	NA
Hallux rigidus	NA
Hallux valgus (Bunion)	NA
Ham intake	Y
Hammer toe (acquired)	NA
Hand grip strength (left)	NA
Hand grip strength (right)	NA
Hand Strength	NA
Hands-free device/speakerphone use with mobile phone in last 3 month	NA
Happiness	Y
Hard cheese intake	Y
HDL cholesterol	NA
head injury	NA
Headache	NA
Headaches for 3+ months	NA
Health	Y
Health satisfaction	NA
Hearing aid user	NA
Hearing difficulty/problems with background noise	NA
Hearing Loss	NA
hearing loss	NA
Hearing Loss, Sensorineural	NA
Hearing test done	NA
Heart Arrest	NA
Heart Diseases	NA
Heart Failure	NA
Heart failure and bmi 25plus	NA
Heart failure and hypertrophic cardiomyopathy	NA
Heart failure NOS	NA
Heart failure, strict	NA
Heart Rate	NA
Heart valve disorders	NA
Heart valve replaced	NA
Heartburn	NA
Heating type(s) in home	NA
Heel bone mineral density (BMD)	NA
Heel bone mineral density (BMD) (left)	NA
Heel bone mineral density (bmd) (left)	NA
Heel bone mineral density (BMD) (right)	NA
Heel bone mineral density (bmd) (right)	NA
Heel bone mineral density (BMD) T-score, automated	NA
Heel bone mineral density (bmd) t-score, automated	NA
Heel bone mineral density (BMD) T-score, automated (left)	NA
Heel bone mineral density (BMD) T-score, automated (right)	NA
Heel broadband ultrasound attenuation (left)	NA
Heel broadband ultrasound attenuation (right)	NA
Heel Broadband ultrasound attenuation, direct entry	NA
Heel broadband ultrasound attenuation, direct entry	NA
Heel quantitative ultrasound index (QUI), direct entry	NA
Heel quantitative ultrasound index (qui), direct entry	NA
Heel quantitative ultrasound index (QUI), direct entry (left)	NA
Heel quantitative ultrasound index (qui), direct entry (left)	NA
Heel quantitative ultrasound index (QUI), direct entry (right)	NA
Heel quantitative ultrasound index (qui), direct entry (right)	NA
Height, inverse-rank normalized	NA
hematologic disease	NA
Hematologic Diseases	NA
Hematological or dermatological disease	NA
Hematuria	NA
Heme oxygenase 1 measurement	Y
Hemiplegia	NA
Hemoptysis	NA
Hemorrhage during pregnancy; childbirth and postpartum	NA
Hemorrhage NOS	NA
Hemorrhage of rectum and anus	NA
Hemorrhage or hematoma complicating a procedure	NA
Hemorrhoids	NA
Henoch-Schönlein purpura nephritis (HSPN)	NA
hepatitis	NA
hepatitis A	NA
Hepatitis NOS	NA
Hepatocellular carcinoma, excluding all cancers (controls excluding all cancers)	NA
Herbal tea intake	Y
Hereditary hypogammaglobulinemia	NA
Hereditary retinal dystrophies	NA
Hereditary Sensory and Motor Neuropathy	NA
Hernia	NA
Hernia of abdominal wall, postoperative	NA
Hernia, Abdominal	NA
Hernia, Diaphragmatic	NA
Hernia, Inguinal	NA
Hernia, Umbilical	NA
Hernia, Ventral	NA
Herpes simplex infection	NA
Herpes Zoster	NA
Herpes zoster with nervous system complications	NA
Herpesviral [herpes simplex] infections	NA
Heterophoria	NA
hiatus hernia	NA
Hidradenitis Suppurativa	NA
High light scatter reticulocyte count	NA
High light scatter reticulocyte percentage	NA
Hip circumference	NA
hip fracture,femur fracture	NA
hip pain	NA
Hirsutism	NA
histamine H1 antagonist|antihistamine	NA
hl.rand_norm(mean=pop_dict[mt.pop], seed=42)	Y
hl.rand_norm(seed=42)	Y
HLA-D Antigens	NA
HMG CoA reductase inhibitor|statin	NA
Hodgkin lymphoma, hilmo (controls excluding all cancers)	NA
hodgkins lymphoma	NA
Home area population density - urban or rural	NA
Home location - east co-ordinate (rounded)	NA
Home location - north co-ordinate (rounded)	Y
Home location at assessment - east co-ordinate (rounded)	Y
Home location at assessment - north co-ordinate (rounded)	NA
Homemade soup intake	Y
hormone	NA
hormone replacement therapy	NA
Hospital episode type	NA
Hospitalized vs non-hospitalized (controls include untested)	NA
Hot chocolate intake	Y
Hot drink temperature	Y
How are people in household related to participant	NA
HSIL lesion of the cervix uteri	NA
HSIL lesion of the cervix uteri, vagina or vulva	NA
HSIL lesion of the vulva	NA
humerus fracture	NA
Hydrocele	NA
Hydrocephalus	NA
Hydrocephalus, Normal Pressure	NA
hydrocortisone	NA
hydrocortisone/clotrimazole	NA
Hydronephrosis	NA
hydroxocobalamin	NA
hydroxychloroquine	NA
hydroxyzine	NA
Hyoscine butylbromide	NA
Hyperaldosteronism	NA
Hypercholesterolemia	NA
hypercholesterolemia	NA
Hyperemesis Gravidarum	NA
Hyperglycemia	NA
Hyperinsulinism	NA
Hyperlipidaemia, other/unspecified	NA
Hyperlipidemia	NA
Hyperlipidemias	NA
Hypermetropia	NA
Hypermobility syndrome	NA
hyperopia	NA
Hyperparathyroidism	NA
Hyperplasia of prostate	NA
Hypersensitivity	NA
Hypersomnia	NA
hypertension	NA
Hypertension	NA
Hypertension (no controls excluded)	NA
Hypertension complicating pregnancy, childbirth, and the puerperium	NA
Hypertension, essential	NA
Hypertension, Pregnancy-Induced	NA
Hypertensive diseases	NA
Hypertensive diseases (excluding secondary)	NA
Hypertensive Heart Disease	NA
Hypertensive Renal Disease	NA
Hyperthyroidism	NA
Hypertriglyceridemia	NA
Hypertrophic obstructive cardiomyopathy	NA
Hypertrophy of (infrapatellar) fat pad	NA
Hypertrophy of breast in women and men	NA
Hypertrophy of tongue papillae	NA
Hypertrophy, Left Ventricular	NA
Hyphaema and other vascular disorders of iris and ciliary body	NA
Hypo-osmolality and hyponatraemia	NA
Hypoalphalipoproteinemias	NA
Hypoglycemia	NA
Hypokalemia	NA
Hypoparathyroidism	NA
Hypophosphatasia	NA
Hypopigmentation	NA
Hypoplasia of dental enamel , including avohilmo	NA
Hypoplasia of dental enamel, including avohilmo	NA
Hypoplasia of dental enamel, prenatal , including avohilmo	NA
Hypopotassemia	NA
Hyposmolality and/or hyponatremia	NA
Hypothermia/Chills	NA
Hypothyroidism	NA
Hypothyroidism (congenital or acquired)	NA
Hypothyroidism and >3 levothyroxin purchases	NA
Hypothyroidism NOS	NA
Hypothyroidism, drug reimbursement	NA
Hypothyroidism, strict autoimmune	NA
Hypovolemia	NA
hypromellose	NA
Hysterectomy	NA
I07 Rheumatic tricuspid valve diseases	NA
I20 Angina pectoris	NA
I21 Acute myocardial infarction	NA
I22 Subsequent myocardial infarction	NA
I24 Other acute ischaemic heart diseases	NA
I25 Chronic ischaemic heart disease	NA
I26 Pulmonary embolism	NA
I27 Other pulmonary heart diseases	NA
I30 Acute pericarditis	NA
I31 Other diseases of pericardium	NA
I35 Nonrheumatic aortic valve disorders	NA
I42 Cardiomyopathy	NA
I44 Atrioventricular and left bundle-branch block	NA
I45 Other conduction disorders	NA
I46 Cardiac arrest	NA
I48 Atrial fibrillation and flutter	NA
I50 Heart failure	NA
I62 Other nontraumatic intracranial haemorrhage	NA
I65 Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction	NA
I66 Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction	NA
I71 Aortic aneurysm and dissection	NA
I73 Other peripheral vascular diseases	NA
I77 Other disorders of arteries and arterioles	NA
I79 Disorders of arteries, arterioles and capillaries in diseases classified elsewhere	NA
I80 Phlebitis and thrombophlebitis	NA
I82 Other venous embolism and thrombosis	NA
I83 Varicose veins of lower extremities	NA
I84 Haemorrhoids	NA
I85 Oesophageal varices	NA
I86 Varicose veins of other sites	NA
I87 Other disorders of veins	NA
I98 Other disorders of circulatory system in diseases classified elsewhere	NA
Iatrogenic hypotension	NA
IBD (strict) with PSC	NA
IBD patients in KELA-register	NA
ibuprofen	NA
Ice-cream intake	Y
IgA Deficiency	NA
IgA nephropathy (IgA glomerulonephritis)	NA
IGF-1	NA
ILD-related respiratory insufficiency	NA
Ileostomy status	NA
Iliotibial band syndrome	NA
Illness, injury, bereavement, stress in last 2 years	NA
Illnesses of father	NA
Illnesses of mother	NA
Illnesses of siblings	NA
imipramine	NA
Immature reticulocyte fraction	NA
Immunodeficiency with predominantly antibody defects	NA
Immunoglobulin G measurement	Y
immunosupressant|Rheumatoid arthritis	NA
Impact on normal roles during worst period of anxiety	NA
Impacted maxillary canine	NA
Impedance of arm (left)	NA
Impedance of arm (right)	NA
Impedance of leg (left)	NA
Impedance of leg (right)	NA
Impedance of whole body	NA
Impingement syndrome of shoulder	NA
Inactivation, Metabolic	NA
Increased muscle tone	NA
indapamide	NA
Indirect bilirubin	NA
indomethacin	NA
inert viscoelastic polymer	Y
Infection due to other mycobacteria	NA
Infection of intervertebral disc (pyogenic)	NA
Infection of the eye	NA
Infections of genitourinary tract during pregnancy	NA
Infections of genitourinary tract in pregnancy	NA
Infections of the skin and subcutaneous tissue	NA
Infections with a predominantly sexual mode of transmission	NA
Infectious mononucleosis	NA
infectious mononucleosis,Epstein-Barr virus infection	NA
Infective connective tissue disorders	NA
Infective dermatitis	NA
Infertility, Female	NA
Infertility, female	NA
Inflammation	NA
Inflammation of eyelids	NA
Inflammation of lacrimal passages (acute and unspecified)	NA
Inflammation of the eye	NA
Inflammatory bowel disease	NA
inflammatory bowel disease	NA
Inflammatory bowel disease and other gastroenteritis and colitis	NA
Inflammatory bowel disease, strict (require KELA)	NA
Inflammatory Bowel Diseases	NA
Inflammatory disease of breast	NA
Inflammatory disease of cervix, vagina, and vulva	NA
Inflammatory diseases of female pelvic organs	NA
Inflammatory diseases of the central nervous system	NA
Inflammatory diseases of uterus, except cervix	NA
Inflammatory disorders of breast	NA
Influenza and pneumonia	NA
Ingredients in canned soup	NA
Ingredients in homemade soup	NA
Ingrowing nail	NA
Inguinal hernia	NA
inguinal hernia	NA
Inguinal hernia, bilateral	NA
inorganic salt|dietary supplement	Y
inorganic salt|vitamin D|dietary supplement	Y
Inpatient record format	Y
Instant coffee intake	Y
Insulin	NA
Insulin | medication for cholesterol, blood pressure or diabetes	NA
insulin aspart	NA
insulin glargine	NA
Insulin product | treatment/medication code	NA
Insulin Resistance	NA
Insulin-degrading enzyme measurement	Y
Intake of artificial sweetener added to cereal	Y
Intake of artificial sweetener added to coffee	Y
Intake of artificial sweetener added to tea	Y
Intake of sugar added to cereal	Y
Intake of sugar added to coffee	Y
Intake of sugar added to tea	Y
Intelligence	NA
Intended management of patient (recoded)	NA
Intercellular Signaling Peptides and Proteins	NA
Interleukin-1 receptor antagonist protein measurement	Y
Interleukin-1 receptor-like 1 measurement	Y
Interleukin-10 receptor B levels	Y
Interleukin-27	Y
Interleukin-7 receptor subunit alpha measurement	Y
Internal derangement of knee	NA
Internuclear ophthalmoplegia	NA
Interpolated Age of participant when cancer first diagnosed	NA
Interpolated Age of participant when non-cancer illness first diagnosed	NA
Interpolated Age of participant when operation took place	NA
Interpolated Year when non-cancer illness first diagnosed	NA
Interpolated Year when operation took place	NA
Interstitial cystitis (chronic), drug-induced	NA
Interstitial lung disease endpoints	NA
Intervertebral disc disorder with myelopathy	NA
Intervertebral disc disorders	NA
intestinal cancer	NA
Intestinal helminthiases	NA
Intestinal infectious diseases	NA
Intestinal malabsorbtion	NA
Intestinal malabsorption	NA
Intestinal malabsorption (non-celiac)	NA
Intestinal obstruction without mention of hernia	NA
Intra-ocular pressure, corneal-compensated (left)	NA
Intra-ocular pressure, corneal-compensated (right)	NA
Intra-ocular pressure, Goldmann-correlated (left)	NA
Intra-ocular pressure, goldmann-correlated (left)	NA
Intra-ocular pressure, Goldmann-correlated (right)	NA
Intracerebral haemorrhage	NA
Intrahepatic Cholestasis of Pregnancy	NA
Intrahepatic Cholestasis of Pregnancy (ICP) , incl. ICD-8	NA
Intrahepatic Cholestasis of Pregnancy (ICP) , incl. ICD-8 (more control exclusions)	NA
Intrahepatic Cholestasis of Pregnancy (ICP)Ê	NA
Intrahepatic Cholestasis of Pregnancy (ICP)Ê (more controls excluded)	NA
Intraocular Pressure	NA
Invasive ventilation	NA
Inverse distance to the nearest major road	NA
Invitation to complete online 24-hour recall dietary questionnaire, acceptance	NA
ipratropium bromide	NA
Iridocyclitis	NA
Iridocyclitis in diseases classified elsewhere	NA
iritis	NA
Iron	NA
Iron deficiency	NA
Iron deficiency anaemia secondary to blood loss (chronic)	NA
Iron deficiency anemia	NA
Iron deficiency anemias	NA
Iron deficiency anemias, unspecified or not due to blood loss	NA
Iron Metabolism Disorders	NA
iron supplement	Y
Irregular menstrual cycle/bleeding	NA
Irritability	NA
irritable bowel syndrome	NA
Irritable Bowel Syndrome	NA
Irritable Mood	NA
Ischaemic heart disease, wide definition	NA
Ischemic Heart Disease	NA
Ischemic heart diseases	NA
isosorbide mononitrate	NA
ispaghula husk	Y
J02 Acute pharyngitis	NA
J10 Influenza due to identified influenza virus	NA
J18 Pneumonia, organism unspecified	NA
J32 Chronic sinusitis	NA
J33 Nasal polyp	NA
J34 Other disorders of nose and nasal sinuses	NA
J38 Diseases of vocal cords and larynx, not elsewhere classified	NA
J43 Emphysema	NA
J44 Other chronic obstructive pulmonary disease	NA
J45 Asthma	NA
J84 Other interstitial pulmonary diseases	NA
J92 Pleural plaque	NA
J95 Postprocedural respiratory disorders, not elsewhere classified	NA
J96 Respiratory failure, not elsewhere classified	NA
J98 Other respiratory disorders	NA
Jaundice	NA
Jaundice (not of newborn)	NA
Jaw disease NOS	NA
Job involved shift work	NA
Job involves heavy manual or physical work	Y
Job involves mainly walking or standing	NA
Job involves night shift work	NA
Job involves shift work	Y
joint disease	NA
Joint Diseases	NA
Joint effusions	NA
Juvenile osteochondrosis	NA
Juvenile rheumatoid arthirtis	NA
K02 Dental caries	NA
K10 Other diseases of jaws	NA
K11 Diseases of salivary glands	NA
K13 Other diseases of lip and oral mucosa	NA
K21 Gastro-oesophageal reflux disease	NA
K22 Other diseases of oesophagus	NA
K26 Duodenal ulcer	NA
K29 Gastritis and duodenitis	NA
K31 Other diseases of stomach and duodenum	NA
K35 Acute appendicitis	NA
K40 Inguinal hernia	NA
K41 Femoral hernia	NA
K42 Umbilical hernia	NA
K43 Ventral hernia	NA
K44 Diaphragmatic hernia	NA
K50 Crohn's disease [regional enteritis]	NA
K51 Ulcerative colitis	NA
K52 Other non-infective gastro-enteritis and colitis	NA
K55 Vascular disorders of intestine	NA
K56 Paralytic ileus and intestinal obstruction without hernia	NA
K57 Diverticular disease of intestine	NA
K59 Other functional intestinal disorders	NA
K60 Fissure and fistula of anal and rectal regions	NA
K62 Other diseases of anus and rectum	NA
K63 Other diseases of intestine	NA
K64 Haemorrhoids and perianal venous thrombosis	NA
K65 Peritonitis	NA
K70 Alcoholic liver disease	NA
K73 Chronic hepatitis, not elsewhere classified	NA
K74 Fibrosis and cirrhosis of liver	NA
K75 Other inflammatory liver diseases	NA
K76 Other diseases of liver	NA
K80 Cholelithiasis	NA
K81 Cholecystitis	NA
K82 Other diseases of gallbladder	NA
K83 Other diseases of biliary tract	NA
K85 Acute pancreatitis	NA
K90 Intestinal malabsorption	NA
K91 Postprocedural disorders of digestive system, not elsewhere classified	NA
K92 Other diseases of digestive system	NA
KELA_REIMBURSEMENT_202	NA
Kela-code for severe mental illness	NA
Keratitis	NA
Keratoconus	NA
Keratosis, Actinic	NA
Keratosis, Seborrheic	NA
ketoconazole	NA
ketoprofen	NA
Kidney Diseases, Cystic	NA
Kidney Failure, Chronic	NA
Kidney injury molecule 1 levels	Y
kidney neoplasm	NA
Kidney stone, ureter stone or bladder stone	NA
Kidney transplant status	NA
knee pain	NA
Known or suspected fetal abnormality affecting management of mother	NA
L02 Cutaneous abscess, furuncle and carbuncle	NA
L03 Cellulitis	NA
L27 Dermatitis due to substances taken internally	NA
L30 Other dermatitis	NA
L40 Psoriasis	NA
L43 Lichen planus	NA
L57 Skin changes due to chronic exposure to nonionising radiation	NA
L60 Nail disorders	NA
L72 Follicular cysts of skin and subcutaneous tissue	NA
L91 Hypertrophic disorders of skin	NA
L93 Lupus erythematosus	NA
L94 Other localised connective tissue disorders	NA
L95 Vasculitis limited to skin, not elsewhere classified	NA
L98 Other disorders of skin and subcutaneous tissue, not elsewhere classified	NA
Labour and delivery complicated by fetal stress [distress]	NA
Lack of coordination	NA
Lactose intolerance	NA
lactose intolerance	NA
Lactose intolerance, other/unspecified	NA
lactulose	NA
Lagophthalmos	NA
Lamb/mutton intake	Y
lamotrigine	NA
lansoprazole	NA
Large cell lymphoma	NA
latanoprost	NA
Lateral epicondylitis	NA
Latte intake	Y
Laxity of ligament or hypermobility syndrome	NA
LDL direct	NA
LDL direct, adjusted by medication	NA
Lectin-like oxidized LDL receptor 1 levels	Y
Leek intake	Y
Leflunomide	NA
Left bundle branch block	NA
Left ventricular outflow tract obstruction (LVOTO), broad definition	NA
Left ventricular outflow tract obstruction, narrow definition	NA
Leg fat mass (left)	NA
Leg fat mass (right)	NA
Leg fat percentage (left)	NA
Leg fat percentage (right)	NA
Leg fat-free mass (left)	NA
Leg fat-free mass (right)	NA
Leg pain in calf/calves	NA
Leg predicted mass (left)	NA
Leg predicted mass (right)	NA
Leiomyoma	NA
Leisure/social activities	NA
Length of menstrual cycle	NA
Length of mobile phone use	Y
Length of time at current address	Y
Length of working week for main job	NA
Lens Subluxation	NA
Lesion of plantar nerve	NA
letrozole	NA
leukemia	NA
Leukocyte Count	NA
Leukocyte Disorders	NA
Leukopenia	NA
Leukoplakia of oral mucosa	NA
leukotriene receptor antagonist|asthma	NA
levothyroxine	NA
Lewy Body Disease	NA
Lichen ruber planus, wide definition including periferal and oral lichen planus	NA
Lichen sclerosus et atrophicus	NA
Lichen simplex chronicus	NA
Lichen simplex chronicus and prurigo	NA
Lifetime number of depressed periods	NA
Lifetime number of sexual partners	NA
Light smokers, at least 100 smokes in lifetime	NA
Likelihood of resuming smoking	NA
